date_id,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,is_winter,is_summer,fiscal_year
20220101,2022-01-01,2022,1,1,January,52,6,Saturday,True,True,False,2021
20220102,2022-01-02,2022,1,1,January,52,7,Sunday,True,True,False,2021
20220103,2022-01-03,2022,1,1,January,1,1,Monday,False,True,False,2021
20220104,2022-01-04,2022,1,1,January,1,2,Tuesday,False,True,False,2021
20220105,2022-01-05,2022,1,1,January,1,3,Wednesday,False,True,False,2021
20220106,2022-01-06,2022,1,1,January,1,4,Thursday,False,True,False,2021
20220107,2022-01-07,2022,1,1,January,1,5,Friday,False,True,False,2021
20220108,2022-01-08,2022,1,1,January,1,6,Saturday,True,True,False,2021
20220109,2022-01-09,2022,1,1,January,1,7,Sunday,True,True,False,2021
20220110,2022-01-10,2022,1,1,January,2,1,Monday,False,True,False,2021
20220111,2022-01-11,2022,1,1,January,2,2,Tuesday,False,True,False,2021
20220112,2022-01-12,2022,1,1,January,2,3,Wednesday,False,True,False,2021
20220113,2022-01-13,2022,1,1,January,2,4,Thursday,False,True,False,2021
20220114,2022-01-14,2022,1,1,January,2,5,Friday,False,True,False,2021
20220115,2022-01-15,2022,1,1,January,2,6,Saturday,True,True,False,2021
20220116,2022-01-16,2022,1,1,January,2,7,Sunday,True,True,False,2021
20220117,2022-01-17,2022,1,1,January,3,1,Monday,False,True,False,2021
20220118,2022-01-18,2022,1,1,January,3,2,Tuesday,False,True,False,2021
20220119,2022-01-19,2022,1,1,January,3,3,Wednesday,False,True,False,2021
20220120,2022-01-20,2022,1,1,January,3,4,Thursday,False,True,False,2021
20220121,2022-01-21,2022,1,1,January,3,5,Friday,False,True,False,2021
20220122,2022-01-22,2022,1,1,January,3,6,Saturday,True,True,False,2021
20220123,2022-01-23,2022,1,1,January,3,7,Sunday,True,True,False,2021
20220124,2022-01-24,2022,1,1,January,4,1,Monday,False,True,False,2021
20220125,2022-01-25,2022,1,1,January,4,2,Tuesday,False,True,False,2021
20220126,2022-01-26,2022,1,1,January,4,3,Wednesday,False,True,False,2021
20220127,2022-01-27,2022,1,1,January,4,4,Thursday,False,True,False,2021
20220128,2022-01-28,2022,1,1,January,4,5,Friday,False,True,False,2021
20220129,2022-01-29,2022,1,1,January,4,6,Saturday,True,True,False,2021
20220130,2022-01-30,2022,1,1,January,4,7,Sunday,True,True,False,2021
20220131,2022-01-31,2022,1,1,January,5,1,Monday,False,True,False,2021
20220201,2022-02-01,2022,1,2,February,5,2,Tuesday,False,True,False,2021
20220202,2022-02-02,2022,1,2,February,5,3,Wednesday,False,True,False,2021
20220203,2022-02-03,2022,1,2,February,5,4,Thursday,False,True,False,2021
20220204,2022-02-04,2022,1,2,February,5,5,Friday,False,True,False,2021
20220205,2022-02-05,2022,1,2,February,5,6,Saturday,True,True,False,2021
20220206,2022-02-06,2022,1,2,February,5,7,Sunday,True,True,False,2021
20220207,2022-02-07,2022,1,2,February,6,1,Monday,False,True,False,2021
20220208,2022-02-08,2022,1,2,February,6,2,Tuesday,False,True,False,2021
20220209,2022-02-09,2022,1,2,February,6,3,Wednesday,False,True,False,2021
20220210,2022-02-10,2022,1,2,February,6,4,Thursday,False,True,False,2021
20220211,2022-02-11,2022,1,2,February,6,5,Friday,False,True,False,2021
20220212,2022-02-12,2022,1,2,February,6,6,Saturday,True,True,False,2021
20220213,2022-02-13,2022,1,2,February,6,7,Sunday,True,True,False,2021
20220214,2022-02-14,2022,1,2,February,7,1,Monday,False,True,False,2021
20220215,2022-02-15,2022,1,2,February,7,2,Tuesday,False,True,False,2021
20220216,2022-02-16,2022,1,2,February,7,3,Wednesday,False,True,False,2021
20220217,2022-02-17,2022,1,2,February,7,4,Thursday,False,True,False,2021
20220218,2022-02-18,2022,1,2,February,7,5,Friday,False,True,False,2021
20220219,2022-02-19,2022,1,2,February,7,6,Saturday,True,True,False,2021
20220220,2022-02-20,2022,1,2,February,7,7,Sunday,True,True,False,2021
20220221,2022-02-21,2022,1,2,February,8,1,Monday,False,True,False,2021
20220222,2022-02-22,2022,1,2,February,8,2,Tuesday,False,True,False,2021
20220223,2022-02-23,2022,1,2,February,8,3,Wednesday,False,True,False,2021
20220224,2022-02-24,2022,1,2,February,8,4,Thursday,False,True,False,2021
20220225,2022-02-25,2022,1,2,February,8,5,Friday,False,True,False,2021
20220226,2022-02-26,2022,1,2,February,8,6,Saturday,True,True,False,2021
20220227,2022-02-27,2022,1,2,February,8,7,Sunday,True,True,False,2021
20220228,2022-02-28,2022,1,2,February,9,1,Monday,False,True,False,2021
20220301,2022-03-01,2022,1,3,March,9,2,Tuesday,False,False,False,2021
20220302,2022-03-02,2022,1,3,March,9,3,Wednesday,False,False,False,2021
